server,c,rate_rps,rho_obs,rho0,s_eff_ms,ks_std,ks_ld,delta,improved
Apache DSP (1c),1,10,0.025,0.032,3.351,0.5993,0.5853,0.014,True
Apache DSP (1c),1,25,0.066,0.081,3.528,0.5763,0.5456,0.0308,True
Apache DSP (1c),1,50,0.167,0.162,3.868,0.5278,0.4589,0.0689,True
Apache DSP (1c),1,75,0.435,0.243,4.282,0.4828,0.3671,0.1157,True
Apache MSG (1c),1,10,0.02,0.021,2.105,0.4474,0.4309,0.0165,True
Apache MSG (1c),1,25,0.053,0.052,2.174,0.4329,0.3925,0.0403,True
Apache MSG (1c),1,50,0.123,0.103,2.299,0.4488,0.3743,0.0746,True
Go lognormal (1c),1,100,0.163,0.142,1.652,0.171,0.1127,0.0582,True
Go lognormal (1c),1,200,0.435,0.284,1.979,0.1815,0.0925,0.089,True
Go lognormal (1c),1,50,0.061,0.071,1.526,0.1552,0.1335,0.0217,True
Go SQLite (1c),1,10,0.113,0.108,10.786,0.54,0.54,0.0,False
Go SQLite (1c),1,25,0.266,0.27,10.786,0.2056,0.2056,0.0,False
Go SQLite (1c),1,50,0.523,0.539,10.786,0.4734,0.4734,0.0,False
Go SQLite (1c),1,75,0.803,0.809,10.786,0.7089,0.7089,0.0,False
Java DSP (1c),4,100,0.006,0.009,0.38,0.5992,0.5969,0.0024,False
Java DSP (1c),4,200,0.012,0.019,0.383,0.6017,0.598,0.0037,False
Java DSP (1c),4,25,0.003,0.002,0.377,0.7515,0.7513,0.0002,False
Java DSP (1c),4,400,0.068,0.038,0.391,0.6051,0.5978,0.0074,True
Java DSP (1c),4,50,0.004,0.005,0.378,0.6085,0.6073,0.0012,False
Java DSP (1c),4,600,0.067,0.056,0.398,0.6061,0.5939,0.0122,True
Node DSP (1c),1,100,0.058,0.083,0.906,0.2332,0.3211,-0.0879,False
Node DSP (1c),1,200,0.236,0.166,0.996,0.7698,0.7628,0.007,True
Node DSP (1c),1,400,0.564,0.332,1.244,0.6251,0.6012,0.0239,True
Node DSP (1c),1,50,0.032,0.042,0.867,0.1006,0.1282,-0.0276,False
Python DSP (1c),1,10,0.085,0.082,8.186,0.5599,0.5599,0.0,False
Python DSP (1c),1,25,0.204,0.205,8.186,0.2867,0.2867,0.0,False
Python DSP (1c),1,50,0.397,0.409,8.186,0.2772,0.2772,0.0,False
Python DSP (1c),1,75,0.613,0.614,8.186,0.2984,0.2984,0.0,False
Python DSP (3c),3,100,0.389,0.323,10.838,0.2722,0.1641,0.1081,True
Python DSP (3c),3,150,0.582,0.485,11.511,0.2762,0.1228,0.1533,True
Python DSP (3c),3,200,0.794,0.647,12.274,0.2943,0.1153,0.179,True
Python DSP (3c),3,25,0.078,0.081,9.963,0.6281,0.6184,0.0097,True
Python DSP (3c),3,50,0.171,0.162,10.238,0.3215,0.3043,0.0172,True
Node DSP (3c),3,1600,0.61,0.57,1.087,0.6744,0.6738,0.0007,False
Node DSP (3c),3,200,0.071,0.071,1.07,0.775,0.7749,0.0001,False
Node DSP (3c),3,2400,0.843,0.854,1.097,0.7384,0.7376,0.0008,False
Node DSP (3c),3,400,0.134,0.142,1.073,0.77,0.7698,0.0002,False
Node DSP (3c),3,800,0.301,0.285,1.078,0.7062,0.7059,0.0003,False
