server,rate_rps,workers,rho_obs,rho0,S0_ms,alpha,beta,theta,M0_mean_ms,M1_mean_ms,M2_mean_ms,M3_mean_ms,ks_M0,ks_M1,ks_M2,ks_M3,delta_M2_minus_M3,delta_M0_minus_M3,best_ks_model,M3_beats_M2,M3_beats_M0
Apache DSP (1c),10,1,0.025,0.032,3.242,30.54,0.999,1.0,3.242,4.232,3.35,3.35,0.5993,0.5001,0.5853,0.5853,0.0,0.014,M1,False,True
Apache DSP (1c),25,1,0.066,0.081,3.242,30.54,0.999,1.0,3.242,5.717,3.527,3.528,0.5763,0.3705,0.5456,0.5455,0.0001,0.0308,M1,False,True
Apache DSP (1c),50,1,0.167,0.162,3.242,30.54,0.999,1.0,3.242,8.192,3.868,3.869,0.5278,0.5251,0.4589,0.4588,0.0001,0.069,M3,False,True
Apache DSP (1c),75,1,0.435,0.243,3.242,30.54,0.999,1.0,3.242,10.667,4.282,4.283,0.4829,0.675,0.3671,0.367,0.0001,0.1158,M3,False,True
Apache MSG (1c),10,1,0.02,0.021,2.062,6.816,0.999,1.0,2.062,2.202,2.105,2.105,0.4481,0.4007,0.4311,0.4311,0.0,0.0169,M1,False,True
Apache MSG (1c),25,1,0.053,0.052,2.062,6.816,0.999,1.0,2.062,2.413,2.173,2.174,0.4331,0.3126,0.3927,0.3927,0.0,0.0404,M1,False,True
Apache MSG (1c),50,1,0.123,0.103,2.062,6.816,0.999,1.0,2.062,2.764,2.298,2.298,0.4491,0.2599,0.3745,0.3743,0.0002,0.0748,M1,False,True
Go lognormal (1c),100,1,0.163,0.142,1.418,6.554,0.999,1.0,1.418,2.348,1.652,1.652,0.171,0.2673,0.1127,0.1126,0.0001,0.0583,M3,False,True
Go lognormal (1c),200,1,0.435,0.284,1.418,6.554,0.999,1.0,1.418,3.277,1.979,1.98,0.1815,0.4399,0.0926,0.0929,-0.0003,0.0886,M2,False,True
Go lognormal (1c),50,1,0.061,0.071,1.418,6.554,0.999,1.0,1.418,1.883,1.526,1.526,0.1551,0.2182,0.1336,0.1336,0.0,0.0216,M2,False,True
Go SQLite (1c),10,1,0.113,0.108,10.786,0.0,0.0,0.0,10.786,10.786,10.786,10.786,0.54,0.54,0.54,0.54,0.0,0.0,M0,False,False
Go SQLite (1c),25,1,0.266,0.27,10.786,0.0,0.0,0.0,10.786,10.786,10.786,10.786,0.2056,0.2056,0.2056,0.2056,0.0,0.0,M0,False,False
Go SQLite (1c),50,1,0.523,0.539,10.786,0.0,0.0,0.0,10.786,10.786,10.786,10.786,0.4734,0.4734,0.4734,0.4734,0.0,0.0,M0,False,False
Go SQLite (1c),75,1,0.803,0.809,10.786,0.0,0.0,0.0,10.786,10.786,10.786,10.786,0.7089,0.7089,0.7089,0.7089,0.0,0.0,M0,False,False
Java DSP (1c),100,4,0.006,0.009,0.376,0.867,0.999,1.0,0.376,0.384,0.379,0.379,0.5995,0.5949,0.5971,0.5971,0.0,0.0024,M1,False,False
Java DSP (1c),200,4,0.012,0.019,0.376,0.867,0.999,1.0,0.376,0.392,0.383,0.383,0.602,0.5928,0.5981,0.5981,0.0,0.0039,M1,False,False
Java DSP (1c),25,4,0.003,0.002,0.376,0.867,0.999,1.0,0.376,0.378,0.376,0.376,0.7517,0.7512,0.7513,0.7513,0.0,0.0003,M1,False,False
Java DSP (1c),400,4,0.068,0.038,0.376,0.867,0.999,1.0,0.376,0.408,0.39,0.39,0.6053,0.5865,0.5982,0.5982,0.0,0.0071,M1,False,True
Java DSP (1c),50,4,0.004,0.005,0.376,0.867,0.999,1.0,0.376,0.38,0.377,0.377,0.6088,0.6064,0.6076,0.6076,0.0,0.0012,M1,False,False
Java DSP (1c),600,4,0.067,0.056,0.376,0.867,0.999,1.0,0.376,0.424,0.398,0.398,0.6066,0.5786,0.5942,0.5942,0.0,0.0124,M1,False,True
Node DSP (1c),100,1,0.058,0.083,0.831,4.945,0.999,1.0,0.831,1.242,0.906,0.906,0.233,0.5978,0.3209,0.321,-0.0001,-0.088,M0,False,False
Node DSP (1c),200,1,0.236,0.166,0.831,4.945,0.999,1.0,0.831,1.653,0.996,0.996,0.7698,0.7344,0.7628,0.7628,0.0,0.007,M1,False,True
Node DSP (1c),400,1,0.564,0.332,0.831,4.945,0.999,1.0,0.831,2.474,1.244,1.245,0.6251,0.5255,0.6012,0.6011,0.0001,0.024,M1,False,True
Node DSP (1c),50,1,0.032,0.042,0.831,4.945,0.999,1.0,0.831,1.036,0.867,0.867,0.1007,0.2872,0.128,0.128,0.0,-0.0273,M0,False,False
Python DSP (1c),10,1,0.085,0.082,8.186,0.0,0.0,0.0,8.186,8.186,8.186,8.186,0.5599,0.5599,0.5599,0.5599,0.0,0.0,M0,False,False
Python DSP (1c),25,1,0.204,0.205,8.186,0.0,0.0,0.0,8.186,8.186,8.186,8.186,0.2867,0.2867,0.2867,0.2867,0.0,0.0,M0,False,False
Python DSP (1c),50,1,0.397,0.409,8.186,0.0,0.0,0.0,8.186,8.186,8.186,8.186,0.2772,0.2772,0.2772,0.2772,0.0,0.0,M0,False,False
Python DSP (1c),75,1,0.613,0.614,8.186,0.0,0.0,0.0,8.186,8.186,8.186,8.186,0.2985,0.2985,0.2985,0.2985,0.0,0.0,M0,False,False
Python DSP (3c),100,3,0.389,0.336,10.095,4.419,0.324,0.108,10.095,11.582,11.331,10.648,0.2305,0.11,0.1279,0.1796,-0.0517,0.0509,M1,False,True
Python DSP (3c),150,3,0.582,0.505,10.095,4.419,0.324,0.108,10.095,12.325,12.069,11.207,0.236,0.1432,0.1192,0.1439,-0.0247,0.092,M2,False,True
Python DSP (3c),200,3,0.794,0.673,10.095,4.419,0.324,0.108,10.095,13.069,12.911,12.34,0.2505,0.1819,0.1693,0.1215,0.0478,0.129,M3,True,True
Python DSP (3c),25,3,0.078,0.084,10.095,4.419,0.324,0.108,10.095,10.466,10.378,10.195,0.613,0.599,0.6025,0.6093,-0.0069,0.0036,M1,False,False
Python DSP (3c),50,3,0.171,0.168,10.095,4.419,0.324,0.108,10.095,10.838,10.677,10.315,0.3083,0.2851,0.2902,0.3019,-0.0117,0.0064,M1,False,True
Node DSP (3c),1600,3,0.61,0.577,1.081,0.036,0.031,0.0,1.081,1.102,1.101,1.081,0.6739,0.6731,0.6732,0.6739,-0.0008,0.0,M1,False,False
Node DSP (3c),200,3,0.071,0.072,1.081,0.036,0.031,0.0,1.081,1.084,1.083,1.081,0.7745,0.7744,0.7744,0.7745,-0.0001,0.0,M1,False,False
Node DSP (3c),2400,3,0.843,0.865,1.081,0.036,0.031,0.0,1.081,1.112,1.111,1.081,0.7381,0.7371,0.7372,0.7381,-0.0009,0.0,M1,False,False
Node DSP (3c),400,3,0.134,0.144,1.081,0.036,0.031,0.0,1.081,1.086,1.086,1.081,0.7693,0.7691,0.7691,0.7693,-0.0002,0.0,M1,False,False
Node DSP (3c),800,3,0.301,0.288,1.081,0.036,0.031,0.0,1.081,1.091,1.091,1.081,0.7058,0.7055,0.7055,0.7058,-0.0003,0.0,M1,False,False
Java DSP (3c),100,3,0.016,0.01,0.303,0.0,0.0,0.0,0.303,0.303,0.303,0.303,0.7934,0.7934,0.7934,0.7934,0.0,0.0,M0,False,False
Java DSP (3c),200,3,0.017,0.02,0.303,0.0,0.0,0.0,0.303,0.303,0.303,0.303,0.7786,0.7786,0.7786,0.7786,0.0,0.0,M0,False,False
Java DSP (3c),400,3,0.04,0.04,0.303,0.0,0.0,0.0,0.303,0.303,0.303,0.303,0.78,0.78,0.78,0.78,0.0,0.0,M0,False,False
Java DSP (3c),600,3,0.047,0.061,0.303,0.0,0.0,0.0,0.303,0.303,0.303,0.303,0.7794,0.7794,0.7794,0.7794,0.0,0.0,M0,False,False
Java DSP (3c),800,3,0.069,0.081,0.303,0.0,0.0,0.0,0.303,0.303,0.303,0.303,0.7802,0.7802,0.7802,0.7802,0.0,0.0,M0,False,False
Go SQLite (3c),100,3,0.171,0.172,5.162,2.088,0.318,0.105,5.162,5.522,5.461,5.275,0.5724,0.5625,0.5638,0.5686,-0.0048,0.0037,M1,False,False
Go SQLite (3c),200,3,0.372,0.344,5.162,2.088,0.318,0.105,5.162,5.881,5.796,5.447,0.3976,0.3789,0.3806,0.3895,-0.0088,0.0081,M1,False,True
Go SQLite (3c),400,3,0.845,0.688,5.162,2.088,0.318,0.105,5.162,6.6,6.607,6.36,0.2815,0.243,0.2427,0.2484,-0.0057,0.033,M2,False,True
Go SQLite (3c),50,3,0.087,0.086,5.162,2.088,0.318,0.105,5.162,5.342,5.308,5.214,0.751,0.7476,0.7485,0.7502,-0.0017,0.0008,M1,False,False
