folder,n_rates,rates,n_total,mean_first_ms,mean_last_ms,mean_last_over_first,anova_raw_F,anova_raw_p,anova_log_F,anova_log_p,eta2_log,levene_log_p,kruskal_H,kruskal_p,reject_M0_log_anova_0.05,rate_n_mean_median
apache_dsp_1c,5,"10,25,50,75,100",23245,2.5343,51.8653,20.465,1006.8764,0.0,2578.8814,0.0,0.3074,0.0,6969.8361,0.0,True,100:8987:51.865:9.448;10:859:2.534:2.276;25:2198:2.658:2.290;50:4472:3.337:2.485;75:6729:5.807:2.958
apache_msg_1c,3,"10,25,50",7656,1.9868,2.491,1.2538,34.7137,9.817538844081462e-16,24.9486,1.5853806161715563e-11,0.0065,1.7775267025685928e-09,26.5118,1.7499795568450324e-06,True,10:899:1.987:1.757;25:2252:2.107:1.811;50:4505:2.491:1.872
go_1c,4,"50,100,200,400",67717,1.2227,2.4178,1.9774,525.9975,0.0,791.7246,0.0,0.0339,0.0,2266.6391,0.0,True,100:9013:1.630:1.173;200:17813:2.176:1.445;400:36317:2.418:1.549;50:4574:1.223:1.034
go_sqlite_1c,8,"10,25,50,75,100,200,400,600",33940,11.3317,20.2423,1.7864,2022.4903,0.0,3515.1059,0.0,0.4203,0.0,15597.3167,0.0,True,100:1007:46.091:37.400;10:917:11.332:10.234;200:8680:14.340:12.796;25:2315:10.648:10.234;400:5173:21.010:15.020;50:4495:10.463:10.099;600:4930:20.242:14.998;75:6423:10.701:10.230
go_sqlite_3c,5,"50,100,200,400,800",25510,5.2377,6.9888,1.3343,152.1736,7.093561587182424e-129,189.7115,1.548860758299243e-160,0.0289,9.142084307385117e-207,365.9324,6.361029343881266e-78,True,100:4428:5.141:4.599;200:6113:5.586:4.677;400:6282:6.338:4.825;50:2658:5.238:4.646;800:6029:6.989:4.969
java_dsp_1c,6,"25,50,100,200,400,600",25480,0.547,0.4442,0.8121,16.4958,2.7030685085869124e-16,690.5466,0.0,0.1194,1.0494658586614296e-115,4365.9364,0.0,True,100:8848:0.236:0.170;200:4402:0.248:0.177;25:2379:0.547:0.288;400:2721:0.679:0.200;50:4519:0.306:0.186;600:2611:0.444:0.201
java_dsp_3c,5,"100,200,400,600,800",19178,0.4699,0.2606,0.5546,3.8932,0.003658605973713703,640.6851,0.0,0.1179,1.0696893825187245e-117,4157.9356,0.0,True,100:5759:0.470:0.265;200:3839:0.253:0.195;400:3164:0.297:0.197;600:3490:0.236:0.196;800:2926:0.261:0.198
node_dsp_1c,7,"50,100,200,400,800,1200,1600",84840,0.6396,1.6395,2.5633,301.6662,0.0,1643.8766,0.0,0.1042,0.0,14453.092,0.0,True,100:8863:0.582:0.520;1200:14666:2.030:0.783;1600:15854:1.639:0.803;200:11924:1.178:0.758;400:15390:1.411:0.764;50:4497:0.640:0.556;800:13646:2.209:0.821
node_dsp_3c,5,"200,400,800,1600,2400",62137,1.0719,1.0542,0.9835,16.949,6.739247103655008e-14,27.8327,3.971999978653985e-23,0.0018,1.4715462151908965e-14,750.694,3.668246980149886e-161,True,1600:12854:1.143:0.741;200:11198:1.072:0.780;2400:12459:1.054:0.735;400:12810:1.006:0.739;800:12816:1.130:0.743
python_dsp_1c,4,"10,25,50,75",14462,8.488,8.1777,0.9634,24.9654,4.19029550277189e-16,25.9281,1.0147952053193268e-16,0.0054,1.3801619911471332e-28,108.8149,1.974040965999993e-23,True,10:987:8.488:7.612;25:2379:8.143:7.497;50:4509:7.934:7.320;75:6587:8.178:7.595
python_dsp_3c,7,"25,50,100,150,200,250,300",54977,9.3208,11.4373,1.2271,161.1878,7.442057843254312e-204,252.5743,0.0,0.0268,3.782061076098881e-170,2129.3726,0.0,True,100:8416:11.673:10.032;150:9673:11.642:10.023;200:10348:11.914:10.225;250:9437:11.340:9.488;25:2357:9.321:8.641;300:10262:11.437:9.398;50:4484:10.271:9.155
