Server,c,best_model,M0_S0,M0_aic,M0_rmse,M0_r2,M1_S0,M1_param,M1_aic,M1_rmse,M1_r2,M2_S0,M2_param,M2_aic,M2_rmse,M2_r2,M3_S0,M3_param,M3_aic,M3_rmse,M3_r2,delta_aic_M2_minus_M3
Apache DSP (1c),1,M1 linear,3.5839,4.2159,1.3192,0.0,1.6132,30.5396,-1.4901,0.5035,0.8543,3.2422,0.999,4.029,1.0036,0.4212,3.2418,1.0,4.0264,1.0033,0.4215,0.0027
Apache MSG (1c),1,M1 linear,2.183,-7.4275,0.2078,0.0,1.8297,6.8158,-17.2505,0.029,0.9806,2.0617,0.999,-8.2888,0.129,0.6147,2.0615,1.0,-8.2925,0.1289,0.6152,0.0037
Go lognormal (1c),1,M1 linear,1.6761,-3.6432,0.3904,0.0,0.9498,6.5542,-15.0987,0.0415,0.9887,1.4183,0.999,-5.3845,0.2093,0.7127,1.4181,1.0,-5.3897,0.2091,0.7132,0.0051
Go SQLite (1c),1,M0 constant,10.7859,-6.9377,0.3272,0.0,10.7859,0.0,-4.9377,0.3272,0.0,10.7859,0.0,-4.9377,0.3272,0.0,10.7859,0.0,-4.9377,0.3272,0.0,0.0
Java DSP (1c),1,M0 constant,0.4099,-19.7568,0.1632,0.0,0.342,0.8669,-18.6757,0.1511,0.142,0.3756,0.999,-18.5143,0.1532,0.1186,0.3756,1.0,-18.5147,0.1532,0.1187,0.0004
Node DSP (1c),1,M1 linear,0.9525,-6.3472,0.3523,0.0,0.4942,4.9452,-12.3573,0.1294,0.865,0.8311,0.999,-7.6408,0.2334,0.5611,0.8309,1.0,-7.6446,0.2333,0.5615,0.0038
Python DSP (1c),1,M0 constant,8.1858,-10.9649,0.1978,0.0,8.1858,0.0,-8.9649,0.1978,0.0,8.1858,0.0,-8.9649,0.1978,-0.0,8.1858,0.0,-8.9649,0.1978,0.0,0.0
Python DSP (3c),3,M1 linear,10.9641,2.0442,1.0044,0.0,9.4954,4.4193,-3.8822,0.4547,0.7951,9.7022,0.3242,-2.8976,0.5017,0.7505,10.0945,0.1081,-0.1329,0.6615,0.5663,-2.7647
Node DSP (3c),3,M0 constant,1.081,-27.8646,0.0505,0.0,1.0672,0.0359,-26.082,0.0494,0.0425,1.068,0.0311,-26.0719,0.0494,0.0406,1.081,0.0,-25.8646,0.0505,-0.0,-0.2073
Java DSP (3c),3,M0 constant,0.3033,-22.5816,0.0856,0.0,0.3033,0.0,-20.5816,0.0856,-0.0,0.3033,0.0,-20.5816,0.0856,-0.0,0.3033,0.0,-20.5816,0.0856,-0.0,0.0
Go SQLite (3c),3,M2 beta-denom,5.5758,-4.0335,0.4704,0.0,4.9322,2.0879,-14.6063,0.0977,0.9569,4.9905,0.3176,-15.7041,0.0852,0.9672,5.1625,0.105,-14.5806,0.098,0.9566,-1.1236
